[Zone]  ID=ari_gravekeeper_port; dark=True; timeUntilNewDay=23.39987; showFogOfWar=True; fogOfWar=True; minimapEnabled=True; allowCameraPastZoneEdges=False; cantAct=False; cantGameOver=False; alwaysKeepWeaponsUnsheathed=False; peaceful=True; overseerMode=False; rollingPinStyle=False; drawSky=False; drawSky_overrideYpos=-1; boatZone=False; wind=False; overworld=False; canDropItems=True; 
 travelSong=PM-Resort4; travelSongVolume=1; travelSongPitch=0; combatSong=; combatSongVolume=1; combatSongPitch=0; combatSongDelay=0; 
darkR=102; darkG=102; darkB=153; 
 screenWaveFreq=0; screenDarkWaveFreq=0; screenWaveAmp=0.01; screenDarkWaveAmp=0.01; screenWaveSpeed=0.2; screenWaveAmp_reflect=0.0014; 
 bgTerrainTypeID=; bgFXID=ocean; bgFX_sineWave=0; darkenedTileTexture=darkenedTile; bgScale=1; bgParallaxRatio=1; bgMoveSpeedX=0; bgMoveSpeedY=0; 
paletteOverride=; zoneDirtPalette=pDirt; zoneGrassPalette=pGreen; zoneGrassDarkPalette=pGreen2; zoneStonePalette=pGreyD; zoneStoneDarkPalette=pGreyD2; zoneStoneLightPalette=pGreyD; zoneWaterPalette=pBlue; zoneDirtDarkPalette=pDirt; zoneWoodPalette=pWood; zoneWoodDarkPalette=pWoodDark; zoneMisc1Palette=pWoodDark; zoneMisc2Palette=zoneDirt; zoneMisc3Palette=pRed; zoneMisc4Palette=pBlue; zoneMisc5Palette=pGreen; zoneMisc6Palette=pOrange; zoneMisc7Palette=pYellow; zoneMisc8Palette=pPurple; 

combatMode=False; 

[Item] ID=bush2; q=1; r=360; x=4; y=2;
[Item] ID=bush2; q=1; r=-360; x=4; y=3;
[Item] ID=grass_tall1; q=1; x=4; y=5;
[Item] ID=dirt_sandy2; q=1; r=180; x=17; y=17;
[Item] ID=fade_s1; q=1; x=17; y=19;
[Item] ID=fade_s1; q=1; x=17; y=20;
[Item] ID=crate_small_damaged; q=1; x=17; y=20; containerID=1;
[Item] ID=loot_none; q=1; containedIn=1; cSlot=0;
[Item] ID=loot_none; q=1; containedIn=1; cSlot=1;
[Item] ID=loot_none; q=1; containedIn=1; cSlot=2;
[Item] ID=fade_s1; q=1; x=17; y=21;
[Item] ID=fade_s1; q=1; x=17; y=22;
[Item] ID=fade_s1; q=1; x=17; y=23;
[Item] ID=sign_hanging1; q=1; r=-360; x=17; y=23;
[Item] ID=sign_icon_boat; q=1; x=17; y=23;
[Item] ID=fade_s2; q=1; r=90; x=17; y=24;
[Item] ID=sign_hanging1; q=1; x=18; y=1;
[Item] ID=sign_icon_bag; q=1; x=18; y=1;
[Item] ID=debris; q=1; oX=0; oY=-4; x=18; y=2;
[Item] ID=lamp; q=1; oX=0; oY=-6; x=18; y=2;
[Item] ID=item_cantGrabOrPlace; q=1; x=18; y=2;
[Item] ID=tile_cantTarget_peaceful; q=1; x=18; y=2;
[Item] ID=fade_s1; q=1; x=18; y=5;
[Item] ID=fade_s1; q=1; x=18; y=6;
[Item] ID=fade_s1; q=1; x=18; y=7;
[Item] ID=fade_s1; q=1; x=18; y=8;
[Item] ID=pebbles2; q=1; x=18; y=9;
[Item] ID=rocks1; q=1; x=18; y=9;
[Item] ID=fade_s1; q=1; x=18; y=9;
[Item] ID=fade_s2; q=1; r=90; x=18; y=10;
[Item] ID=wall1_style6; q=1; x=18; y=11;
[Item] ID=roof2_back; q=1; x=18; y=11;
[Item] ID=wall4_style6; q=1; x=18; y=12;
[Item] ID=roof2_top; q=1; x=18; y=12;
[Item] ID=wall4_style6; q=1; x=18; y=13;
[Item] ID=roof2; q=1; x=18; y=13;
[Item] ID=wall4_style6; q=1; x=18; y=14;
[Item] ID=roof2; q=1; x=18; y=14;
[Item] ID=cantBlackenTile; q=1; x=18; y=14;
[Item] ID=wall1_style6; q=1; x=18; y=15;
[Item] ID=cantBlackenTile; q=1; x=18; y=15;
[Item] ID=wall5_style6; q=1; x=18; y=16;
[Item] ID=cantBlackenTile; q=1; x=18; y=16;
[Item] ID=dirt_sandy1; q=1; r=-360; x=18; y=18;
[Item] ID=dirt_sandy1; q=1; x=18; y=21;
[Item] ID=pebbles1; q=1; r=-270; x=18; y=21;
[Item] ID=rocks1; q=3; r=180; x=19; y=3;
[Item] ID=wall2_style6; q=1; x=19; y=11;
[Item] ID=roof2_back; q=1; x=19; y=11;
[Item] ID=mount_item; q=1; x=19; y=11;
[Item] ID=bush_flowers1; q=1; x=19; y=11;
[Item] ID=roof2_top; q=1; x=19; y=12;
[Item] ID=roof2; q=1; x=19; y=13;
[Item] ID=roof2; q=1; x=19; y=14;
[Item] ID=wall2_style6_roof; q=1; x=19; y=15;
[Item] ID=wall5_style6; q=1; x=19; y=16;
[Item] ID=cantBlackenTile; q=1; x=19; y=16;
[Item] ID=rocks1; q=1; r=-360; x=19; y=17;
[Item] ID=wall2_style6; q=1; x=20; y=11;
[Item] ID=roof2_back; q=1; x=20; y=11;
[Item] ID=roof2_top; q=1; x=20; y=12;
[Item] ID=roof2; q=1; x=20; y=13;
[Item] ID=table_left; q=1; x=20; y=13;
[Item] ID=roof2; q=1; x=20; y=14;
[Item] ID=wall2_style6_roof; q=1; x=20; y=15;
[Item] ID=wall5_style6; q=1; x=20; y=16;
[Item] ID=cantBlackenTile; q=1; x=20; y=16;
[Item] ID=pebbles1; q=1; x=21; y=4;
[Item] ID=wall2_style6; q=1; x=21; y=11;
[Item] ID=roof2_back; q=1; x=21; y=11;
[Item] ID=roof2_top; q=1; x=21; y=12;
[Item] ID=chest_wood1_locked; q=1; x=21; y=12; containerID=2;
[Item] ID=bandage; q=1; containedIn=2; cSlot=0;
[Item] ID=splint; q=1; containedIn=2; cSlot=3;
[Item] ID=bandage; q=2; containedIn=2; cSlot=5;
[Item] ID=lifeshard; q=1; containedIn=2; cSlot=7;
[Item] ID=lifeshard; q=1; containedIn=2; cSlot=8;
[Item] ID=cargo_silk; q=1; containedIn=2; cSlot=10;
[Item] ID=splint; q=1; containedIn=2; cSlot=14;
[Item] ID=roof2; q=1; x=21; y=13;
[Item] ID=table_right; q=1; x=21; y=13;
[Item] ID=lamp; q=1; x=21; y=13;
[Item] ID=item_cantGrabOrPlace; q=1; x=21; y=13;
[Item] ID=roof2; q=1; x=21; y=14;
[Item] ID=wall2_style6_roof; q=1; x=21; y=15;
[Item] ID=cantBlackenTile; q=1; x=21; y=16;
[Item] ID=door_closed_wood_shoddy; q=1; r=360; x=21; y=16;
[Item] ID=wall3_style6; q=1; x=22; y=11;
[Item] ID=fade_s6; q=1; r=180; x=22; y=11;
[Item] ID=roof2_back; q=1; x=22; y=11;
[Item] ID=wall6_style6; q=1; x=22; y=12;
[Item] ID=fade_s6; q=1; r=180; x=22; y=12;
[Item] ID=roof2_top; q=1; x=22; y=12;
[Item] ID=wall6_style6; q=1; x=22; y=13;
[Item] ID=fade_s6; q=1; r=180; x=22; y=13;
[Item] ID=roof2; q=1; x=22; y=13;
[Item] ID=wall6_style6; q=1; x=22; y=14;
[Item] ID=roof2; q=1; x=22; y=14;
[Item] ID=fade_s6; q=1; r=180; x=22; y=14;
[Item] ID=cantBlackenTile; q=1; x=22; y=14;
[Item] ID=wall3_style6; q=1; x=22; y=15;
[Item] ID=fade_s6; q=1; r=180; x=22; y=15;
[Item] ID=cantBlackenTile; q=1; x=22; y=15;
[Item] ID=wall6_style6; q=1; x=22; y=16;
[Item] ID=fade_s6; q=1; r=180; x=22; y=16;
[Item] ID=cantBlackenTile; q=1; x=22; y=16;
[Item] ID=dirt_sandy2; q=3; r=90; x=22; y=18;
[Item] ID=fade_s1; q=1; x=23; y=11;
[Item] ID=fade_s1; q=1; x=23; y=12;
[Item] ID=fade_s1; q=1; x=23; y=13;
[Item] ID=fade_s1; q=1; x=23; y=14;
[Item] ID=fade_s1; q=1; x=23; y=15;
[Item] ID=sign_hanging1; q=1; x=23; y=15;
[Item] ID=sign_icon_balance; q=1; x=23; y=15;
[Item] ID=fade_s2; q=1; r=90; x=23; y=16;
[Item] ID=bush2; q=1; x=23; y=16;
[Item] ID=dirt_sandy1; q=1; r=90; x=24; y=18;
[Item] ID=pebbles2; q=1; r=-360; x=24; y=18;
[Item] ID=dirt_sandy1; q=1; r=270; x=25; y=18;
[Item] ID=pebbles1; q=1; x=25; y=18;
[Item] ID=rocks1; q=1; r=-360; x=26; y=2;
[Item] ID=rubble; q=1; x=26; y=3;
[Item] ID=bush2; q=1; x=26; y=8;
[Item] ID=dirt_sandy2; q=1; x=26; y=18;
[Item] ID=bush2; q=1; r=-360; x=26; y=21;
[Item] ID=plant_small3; q=1; r=-360; x=26; y=21;
[Item] ID=bush_flowers1; q=1; x=26; y=22;
[Item] ID=fence_metal_btm_corner; q=1; x=27; y=3;
[Item] ID=pebbles1; q=1; r=-360; x=27; y=4;
[Item] ID=streetlight_off1; q=1; x=27; y=4;
[Item] ID=dirt_sandy2; q=2; x=27; y=7;
[Item] ID=dirt_sandy1; q=1; x=27; y=8;
[Item] ID=dirt_sandy2; q=2; r=180; x=27; y=11;
[Item] ID=dirt_sandy2; q=1; r=90; x=27; y=18;
[Item] ID=dirt_sandy2; q=3; x=27; y=20;
[Item] ID=pebbles2; q=1; r=90; x=27; y=20;
[Item] ID=bush2; q=1; r=-360; x=27; y=22;
[Item] ID=plant_small3; q=1; r=-360; x=27; y=22;
[Item] ID=fence_metal; q=1; x=28; y=3;
[Item] ID=dirt_sandy1; q=1; x=28; y=5;
[Item] ID=pebbles1; q=1; x=28; y=11;
[Item] ID=streetlight_off1; q=1; x=28; y=11;
[Item] ID=pebbles2; q=1; r=-360; x=28; y=12;
[Item] ID=pebbles2; q=1; r=-360; x=28; y=17;
[Item] ID=dirt_sandy1; q=1; x=29; y=0;
[Item] ID=dirt_sandy2; q=1; x=29; y=1;
[Item] ID=dirt_sandy2; q=1; x=29; y=2;
[Item] ID=ari_closed_graveyard_gate; q=1; x=29; y=3;
[Item] ID=dirt_sandy1; q=1; x=29; y=4;
[Item] ID=travelPoint_1; q=1; r=90; x=29; y=5;
[Item] ID=dirt_sandy2; q=2; r=90; x=29; y=7;
[Item] ID=dirt_sandy2; q=2; r=360; x=29; y=19;
[Item] ID=dirt_sandy2; q=2; r=180; x=29; y=21;
[Item] ID=dirt_sandy2; q=3; r=90; x=29; y=24;
[Item] ID=rope_pile_huge2; q=1; x=29; y=27;
[Item] ID=dirt_sandy2; q=1; r=-360; x=30; y=0;
[Item] ID=dirt_sandy1; q=1; r=-360; x=30; y=1;
[Item] ID=dirt_sandy2; q=2; r=-360; x=30; y=2;
[Item] ID=fence_metal; q=1; x=30; y=3;
[Item] ID=travelPoint_2D; q=1; r=180; x=30; y=10;
[Item] ID=travelPoint_0D; q=1; r=270; x=30; y=11;
[Item] ID=sign_hanging1; q=1; x=30; y=12;
[Item] ID=sign_icon_cup; q=1; x=30; y=12;
[Item] ID=barrel_open; q=1; x=30; y=13; containerID=3;
[Item] ID=loot0; q=1; containedIn=3; cSlot=0;
[Item] ID=loot0; q=1; containedIn=3; cSlot=4;
[Item] ID=loot_none; q=1; containedIn=3; cSlot=7;
[Item] ID=loot_none; q=1; containedIn=3; cSlot=8;
[Item] ID=bush1; q=1; x=30; y=14;
[Item] ID=plant_small3; q=1; x=30; y=15;
[Item] ID=dirt_sandy2; q=2; r=90; x=30; y=24;
[Item] ID=travelPoint_0; q=1; r=270; x=30; y=24;
[Item] ID=fence_metal_btm_corner; q=1; r=-360; x=31; y=3;
[Item] ID=rubble; q=1; x=31; y=4;
[Item] ID=wall1_style6; q=1; x=31; y=8;
[Item] ID=roof2_back; q=1; x=31; y=8;
[Item] ID=wall4_style6; q=1; x=31; y=9;
[Item] ID=roof2_top; q=1; x=31; y=9;
[Item] ID=wall4_style6; q=1; x=31; y=10;
[Item] ID=roof2; q=1; x=31; y=10;
[Item] ID=wall4_style6; q=1; x=31; y=11;
[Item] ID=roof2; q=1; x=31; y=11;
[Item] ID=cantBlackenTile; q=1; x=31; y=11;
[Item] ID=wall1_style6; q=1; x=31; y=12;
[Item] ID=roof2; q=1; x=31; y=12;
[Item] ID=cantBlackenTile; q=1; x=31; y=12;
[Item] ID=wall4_style6; q=1; x=31; y=13;
[Item] ID=cantBlackenTile; q=1; x=31; y=13;
[Item] ID=barrel_open; q=1; x=31; y=14; containerID=4;
[Item] ID=loot_none; q=1; containedIn=4; cSlot=0;
[Item] ID=food; q=2; containedIn=4; cSlot=3;
[Item] ID=loot_none; q=1; containedIn=4; cSlot=4;
[Item] ID=loot0; q=1; containedIn=4; cSlot=6;
[Item] ID=crate_small_damaged; q=1; x=31; y=15; containerID=5;
[Item] ID=loot_none; q=1; containedIn=5; cSlot=3;
[Item] ID=loot_none; q=1; containedIn=5; cSlot=4;
[Item] ID=loot_none; q=1; containedIn=5; cSlot=5;
[Item] ID=fade_s2_diag30; q=1; r=-270; x=31; y=25;
[Item] ID=fade_s4; q=1; r=-90; x=31; y=26;
[Item] ID=fade_s4; q=1; r=-90; x=31; y=27;
[Item] ID=fade_s4; q=1; r=-90; x=31; y=28;
[Item] ID=wall1_style6; q=1; x=32; y=2;
[Item] ID=roof2_back; q=1; x=32; y=2;
[Item] ID=wall4_style6; q=1; x=32; y=3;
[Item] ID=roof2_top; q=1; x=32; y=3;
[Item] ID=wall4_style6; q=1; x=32; y=4;
[Item] ID=roof2; q=1; x=32; y=4;
[Item] ID=cantBlackenTile; q=1; x=32; y=4;
[Item] ID=wall1_style6; q=1; x=32; y=5;
[Item] ID=cantBlackenTile; q=1; x=32; y=5;
[Item] ID=dirt_sandy2; q=2; r=90; x=32; y=7;
[Item] ID=wall2_style6; q=1; x=32; y=8;
[Item] ID=roof2_back; q=1; x=32; y=8;
[Item] ID=lantern_mounted1; q=1; x=32; y=8;
[Item] ID=roof2_top; q=1; x=32; y=9;
[Item] ID=table_left; q=1; x=32; y=9;
[Item] ID=item_cantGrabOrPlace; q=1; x=32; y=9;
[Item] ID=plate; q=1; x=32; y=9;
[Item] ID=roof2; q=1; x=32; y=10;
[Item] ID=stool3; q=1; x=32; y=10;
[Item] ID=travelPoint_1C; q=1; r=270; x=32; y=10;
[Item] ID=item_cantGrabOrPlace; q=1; x=32; y=10;
[Item] ID=roof2; q=1; x=32; y=11;
[Item] ID=roof2; q=1; x=32; y=12;
[Item] ID=door_closed_wood; q=1; x=32; y=13;
[Item] ID=cantBlackenTile; q=1; x=32; y=13;
[Item] ID=dirt_sandy1; q=1; x=32; y=16;
[Item] ID=wall2_style6; q=1; x=33; y=2;
[Item] ID=roof2_back; q=1; x=33; y=2;
[Item] ID=roof2_top; q=1; x=33; y=3;
[Item] ID=table_small2; q=1; x=33; y=3;
[Item] ID=roof2; q=1; x=33; y=4;
[Item] ID=door_closed_wood_shoddy; q=1; x=33; y=5;
[Item] ID=cantBlackenTile; q=1; x=33; y=5;
[Item] ID=dirt_sandy2; q=1; x=33; y=6;
[Item] ID=wall2_style6; q=1; x=33; y=8;
[Item] ID=roof2_back; q=1; x=33; y=8;
[Item] ID=roof2_top; q=1; x=33; y=9;
